title,review,date
Left feeling very sad 🙁,"This was our third visit to the zoo since having children. We went as part of a birthday treat for my daughters 10th birthday.The kids were extremely excited as they both love animals and we went with great expectations as our previous 2 trips had been great.Unfortunately we found a significant drop in standards.We began our morning at the entrance with the meerkats listening to a talk which mainly focused on a keeper telling us the real reason they had them...”because of a certain car insurance advert”. 🤔We quickly moved up further into the park to  handle some reptiles which the kids enjoyed.The chimpanzees looked totally bored and genuinely sad.We then went across to see the pandas and my heart broke, the male was outside pacing round and round in circles repeatedly stopping to stand and stare at the wall.This was the same with the rhino.Lots of the animals didn’t make an appearance and there were lots of empty pens.We travelled up from Berwick-upon-Tweed fully expecting to spend a full day there but left after only 3 hours. Not a long time considering the cost.Sadly we won’t return, which is a shame as previously we have thoroughly enjoyed our visits.I am fully aware that animals should not be contained in a zoo and appreciate that experiences with animals should be within their natural environment wherever possible, however I’m disappointed that Edinburgh zoo doesn’t seem to be maintaining the up keep of the site. Therefore providing the best possible living conditions for the animals.",
Great day,"Been multiple times and never disappointed, always spend hours here even when it’s quiet definitely worth the money",
Day at the zoo,It’s a good day out. Going during the off season is better than going in the summer. The crowds are less.,
Great day out,"We visited the zoo for a day during our stay here, it was a brilliant day. The animals had good enclosures with plenty of space for them to roam and be happy. The Giant Panda, Koala Bears and the recent Baby Tapir were a highlight of the day. The food court was unfortunately closed so we decided on one of the other restaurants. However we did have some issues at the restaurant for lunch, we had to send our meals back twice before switching to a different meal which was lovely but not our preferred choice.We would love to come back and see the penguin parade as the penguins didn't feel up to it while we were there due to nesting.",
Great day out for all ages!,"Had a great day out at the zoo with friends. We went on a weekday so the zoo was very quiet. The zoo and animals were brilliant and the staff were superb.We were however slightly disappointed and shocked at the cost of the food. For two paninis, two packets of crisps and two hot drinks was just shy of £20. We expect it to be expensive however when the oven was broken and we couldn’t have hot paninis it seemed very expensive. There were signed to say this in the cafe to highlight this.We would return and bring our own picnic next time.",
Visit to the zoo,The zoo was everything I expected we came here just to see the pandas as it was a my birthday was very good experience would definitely come again,
disappointed,the  majority of animals we viewed seemed to be low on energy .large zoo but not clean enclosures and overflowing food bowls.rotten food in cages smelt horrible.and it was not suitable for people with walking difficulties.,
Lots of hills and walking,"Expect a tiring day but worthwhile.  Great range of animals and things to do, lots of good information.  A lovely day out.",
Zoo on the hill,"Very nice zoo. Suitable spaces for animals. Many rarities: panda, koala, goral, sun bear and many more. I liked having a look at the research on primates. The animals voluntarily participate in the player's tasks in the hope of a reward snack. One of the main attractions is the penguin parade. On the day of our visit, the penguins were not interested in people.",
Must see attraction,"We enjoyed our visit here. Reasonably priced entry and considering we went in February the zoo was busy. Lots to see and do and plenty for all ages. We have been before and remembered the site being more hilly, either that or we are a bit fitter than last time! It is quite a hard walk and I am not sure it is suitable for buggies or wheelchairs - though accessible vehicles and drop off points are readily available. Our daughter loved the tiger and penguin areas and it was great to be able to walk through the penguin enclosure. Other areas were also open to walk through which is much better than just looking through glass. We sent best part of a day there and even though a lot of the seasonal snack bars were closed we managed to get food and a seat in the main food area. Been a while since we had been but we would go back again soon, Great place",
